gender_main,song_name,artist_id,main_artist,feat_artist,feat_artist2,gender_feat,gender_feat2,same_gender
male,Don't Stop 'Til You Get Enough,3fMbdgg4jU18AjLCKBhRSm,michael jackson,,,,,1
male,Smooth Criminal,3fMbdgg4jU18AjLCKBhRSm,michael jackson,,,,,1
male,Rock with You,3fMbdgg4jU18AjLCKBhRSm,michael jackson,,,,,1
male,In the End,6XyY86QOPPrYVGvF9ch6wz,linkin park,,,,,1
male,Your Body Is a Wonderland,0hEurMDQu99nJRq8pTxO14,john mayer,,,,,1
male,You're Beautiful,7KMqksf0UMdyA0UCf4R3ux,james blunt,,,,,1
male,My Way,1Mxqyy3pSjf8kZZL4QVxS0,frank sinatra,,,,,1
male,"New York, New York","1Mxqyy3pSjf8kZZL4QVxS0, 2lolQgalUvZDfp5vvVtTYV",frank sinatra,tony bennett,,male,,1
male,Imagine,4x1nvY2FN8jxqAFA0DA02H,john lennon,,,,,1
male,Stand By Me,4x1nvY2FN8jxqAFA0DA02H,john lennon,,,,,1
male,Woman,4x1nvY2FN8jxqAFA0DA02H,john lennon,,,,,1
male,Jealous Guy,4x1nvY2FN8jxqAFA0DA02H,john lennon,,,,,1
male,Beautiful Boy,4x1nvY2FN8jxqAFA0DA02H,john lennon,,,,,1
male,Your Move / Give Peace A Chance Medley,"4x1nvY2FN8jxqAFA0DA02H, 2iptQ8hQmUa7kZocEBHt7u, 2S88jpf4slHgPAZiHb24Of, 4STHEaNw4mPZ2tzheohgXB, 2mj5iibIywO5Vygsn64Z3e",john lennon,jon anderson,chris squire,,,1
male,Tiny Dancer,3PhoLpVuITZKcymswpck5b,elton john,,,,,1
male,Candle In The Wind,3PhoLpVuITZKcymswpck5b,elton john,,,,,1
male,Bennie And The Jets,3PhoLpVuITZKcymswpck5b,elton john,,,,,1
male,Your Song,3PhoLpVuITZKcymswpck5b,elton john,,,,,1
male,I'm Still Standing,3PhoLpVuITZKcymswpck5b,elton john,,,,,1
male,Goodbye Yellow Brick Road,3PhoLpVuITZKcymswpck5b,elton john,,,,,1
male,Rocket Man,3PhoLpVuITZKcymswpck5b,elton john,,,,,1
male,In Da Club,3q7HBObVc0L8jNeTe5Gofh,50 cent,,,,,1
male,Ignition,2mxe0TnaNL039ysAj51xPQ,r. kelly,,,,,1
male,Don't Be Cruel,43ZHCT0cAZBISjO8DG9PnE,elvis presley,,,,,1
male,In the Ghetto,43ZHCT0cAZBISjO8DG9PnE,elvis presley,,,,,1
male,Suspicious Minds,43ZHCT0cAZBISjO8DG9PnE,elvis presley,,,,,1
male,Jailhouse Rock,43ZHCT0cAZBISjO8DG9PnE,elvis presley,,,,,1
male,Hound Dog,43ZHCT0cAZBISjO8DG9PnE,elvis presley,,,,,1
male,Every Breath You Take,5NGO30tJxFlKixkPSgXcFE,the police,,,,,1
male,Roxanne,5NGO30tJxFlKixkPSgXcFE,the police,,,,,1
male,Don't Stand So Close To Me,5NGO30tJxFlKixkPSgXcFE,the police,,,,,1
male,Every Little Thing She Does Is Magic,5NGO30tJxFlKixkPSgXcFE,the police,,,,,1
male,Private Eyes,77tT1kLj6mCWtFNqiOmP9H,daryl hall & john oates,,,,,1
male,Little Lion Man,3gd8FJtBJtkRxdfbTu19U2,mumford & sons,,,,,1
male,Hot In Herre,2gBjLmx6zQnFGQJCAQpRgw,nelly,,,,,1
male,7 Days,2JyWXPbkqI5ZJa3gwqVa0c,craig david,,,,,1
male,Under the Bridge,0L8ExT028jH3ddEcZwqJJ5,red hot chili peppers,,,,,1
male,By the Way,0L8ExT028jH3ddEcZwqJJ5,red hot chili peppers,,,,,1
male,Give It Away,0L8ExT028jH3ddEcZwqJJ5,red hot chili peppers,,,,,1
male,Scar Tissue,0L8ExT028jH3ddEcZwqJJ5,red hot chili peppers,,,,,1
male,Californication,0L8ExT028jH3ddEcZwqJJ5,red hot chili peppers,,,,,1
male,Everybody,5rSXSAkZ67PYJSvpUpkOr7,backstreet boys,,,,,1
male,As Long as You Love Me,5rSXSAkZ67PYJSvpUpkOr7,backstreet boys,,,,,1
male,I Still Haven't Found What I'm Looking For,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,With Or Without You,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,Mysterious Ways,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,Where The Streets Have No Name,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,Sweetest Thing,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,All I Want Is You,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,Sunday Bloody Sunday,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,Beautiful Day,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,When Love Comes To Town,"51Blml2LZPmy7TTiAg47vQ, 5xLSa7l4IV1gsQfhAMvl0U",u2,b.b. king,,male,,1
male,New Year's Day,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,One,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,Pride,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,Angel Of Harlem,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,Desire,51Blml2LZPmy7TTiAg47vQ,u2,,,,,1
male,,3Z02hBLubJxuFJfhacLSDc,bryan adams,,,,,1
male,Summer Of '69,3Z02hBLubJxuFJfhacLSDc,bryan adams,,,,,1
